datetime,cfs,cmd,mmd,siteLs,sitecmd,sitemmd,year,month,day
12/7/05,2.12,5186.731622,6.02E-01,3.157524,272.8100736,0.299308517,2005,12,7
12/8/05,2.04,4991.005901,5.80E-01,3.065908,264.8944512,0.290624039,2005,12,8
12/9/05,8.04,19670.43502,2.28E+00,9.937108,858.5661312,0.941959922,2005,12,9
12/10/05,1.95,4770.814464,5.54E-01,2.96284,255.989376,0.280854,2005,12,10
12/11/05,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2005,12,11
12/12/05,1.75,4281.50016,4.97E-01,2.7338,236.20032,0.259142804,2005,12,12
12/13/05,1.51,3694.322995,4.29E-01,2.458952,212.4534528,0.233089369,2005,12,13
12/14/05,1.36,3327.337267,3.86E-01,2.287172,197.6116608,0.216805972,2005,12,14
12/15/05,7.19,17590.84923,2.04E+00,8.963688,774.4626432,0.849687338,2005,12,15
12/16/05,31.8,77800.97434,9.04E+00,37.14706,3209.505984,3.521250018,2005,12,16
12/17/05,4.39,10740.44897,1.25E+00,5.757128,497.4158592,0.545730593,2005,12,17
12/18/05,2.94,7192.920269,8.35E-01,4.096588,353.9452032,0.388324421,2005,12,18
12/19/05,2.48,6067.49737,7.05E-01,3.569796,308.4303744,0.33838867,2005,12,19
12/20/05,2.13,5211.197338,6.05E-01,3.168976,273.7995264,0.300394077,2005,12,20
12/21/05,1.88,4599.554458,5.34E-01,2.882676,249.0632064,0.273255082,2005,12,21
12/22/05,1.72,4208.103014,4.89E-01,2.699444,233.2319616,0.255886125,2005,12,22
12/23/05,1.65,4036.843008,4.69E-01,2.61928,226.305792,0.248287206,2005,12,23
12/24/05,1.65,4036.843008,4.69E-01,2.61928,226.305792,0.248287206,2005,12,24
12/25/05,11.9,29114.20109,3.38E+00,14.35758,1240.494912,1.360986006,2005,12,25
12/26/05,4.81,11768.00901,1.37E+00,6.238112,538.9728768,0.591324105,2005,12,26
12/27/05,2.47,6043.031654,7.02E-01,3.558344,307.4409216,0.33730311,2005,12,27
12/28/05,2.12,5186.731622,6.02E-01,3.157524,272.8100736,0.299308517,2005,12,28
12/29/05,4.2,10275.60038,1.19E+00,5.53954,478.616256,0.525104957,2005,12,29
12/30/05,2.52,6165.36023,7.16E-01,3.615604,312.3881856,0.342730909,2005,12,30
12/31/05,1.87,4575.088742,5.31E-01,2.871224,248.0737536,0.272169522,2005,12,31
1/1/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,1,1
1/2/06,8.73,21358.56937,2.48E+00,10.727296,926.8383744,1.016863548,2006,1,2
1/3/06,12.5,30582.144,3.55E+00,15.0447,1299.86208,1.426119595,2006,1,3
1/4/06,3.25,7951.35744,9.23E-01,4.4516,384.61824,0.421976775,2006,1,4
1/5/06,2.69,6581.277389,7.64E-01,3.810288,329.2088832,0.361185426,2006,1,5
1/6/06,2.24,5480.320205,6.36E-01,3.294948,284.6835072,0.312335235,2006,1,6
1/7/06,1.96,4795.280179,5.57E-01,2.974292,256.9788288,0.28193956,2006,1,7
1/8/06,1.91,4672.951603,5.43E-01,2.917032,252.0315648,0.276511761,2006,1,8
1/9/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,1,9
1/10/06,1.8,4403.828736,5.11E-01,2.79106,241.147584,0.264570603,2006,1,10
1/11/06,5.61,13725.26623,1.59E+00,7.154272,618.1291008,0.678168889,2006,1,11
1/12/06,3.08,7535.440282,8.75E-01,4.256916,367.7975424,0.403522258,2006,1,12
